Region,Coordinates,Image,Description,Cities
CAR - Cordillera Administrative Region,"17.3, 120.6",https://lamadridblog.wordpress.com/wp-content/uploads/2016/11/yahooo.jpg,,"Tabuk, Baguio"
Region IV-B - MIMAROPA,"9.7, 118.7",https://depedmimaroparegion.ph/wp-content/uploads/2023/06/mimaropa3-1024x801.jpg,,"Calapan, Puerto Princesa"
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,"6.9, 124.4",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348221898bv7Xa0J3.jpg,,"Cotabato, Marawi, Lamitan"
Region II - Cagayan Valley,"17.6091, 121.7269",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348191291FKaOhwnF.jpg,,"Tuguegarao, Cauayan, Ilagan, Santiago"
Region IX - Zamboanga Peninsula,"7.8, 123.2",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348134467tr8lXfPB.jpg,,"Dapitan, Dipolog, Pagadian, Zamboanga, Isabela"
Region XII - SOCCSKSARGEN,"6.1, 124.9",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348214819OtcPHeFy.jpg,,"Kidapawan, Cotabato, General Santos, Koronadal, Tacurong"
Region XI - Davao Region,"7.1, 125.6",https://www.eaglenews.ph/wp-content/uploads/2015/10/Region11.jpeg,,"Davao, Tagum, Samal, Panabo, Mati, Digos"
Region XIII - Caraga,"8.7, 126.0",https://image.vigattin.com/box/optimize/81/913_8290123582100236436.jpg,,"Butuan, Cabadbaran, Bayugan, Surigao, Bislig, Tandag"
Region V - Bicol Region,"13.3, 123.3",https://i.pinimg.com/originals/2e/93/e0/2e93e07ca82f306590372bca416891f6.jpg,,"Legazpi, Naga, Iriga, Tabaco, Ligao, Sorsogon, Masbate"
Region VIII - Eastern Visayas,"11.2, 125.0",https://image.vigattin.com/box/optimize/81/313_15579079531238074390.jpg,,"Borongan, Baybay, Ormoc, Tacloban, Calbayog, Catbalogan, Maasin"
Region X - Northern Mindanao,"8.5, 124.0",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348192566l3MLLk73.jpg,,"Malaybalay, Valencia, Iligan, Oroquieta, Ozamiz, Tangub, Cagayan de Oro, El Salvador, Gingoog "
Region I - Ilocos Region,"18.145, 120.545",https://i.pinimg.com/originals/5d/d4/93/5dd49301392972c928a461470c7cd797.jpg,,"Batac, Laoag, Candon, Vigan, San Fernando, Alaminos, Dagupan, San Carlos, Urdaneta"
Region III - Central Luzon,"15.5, 120.5",https://miro.medium.com/v2/resize:fit:1400/1*rOsHMKU2spAMT4ocwgALPA@2x.jpeg,,"Balanga, Malolos, Meycauayan, San Jose del Monte, Cabanatuan, Gapan, Muñoz, Palayan, San Jose, Angeles, Mabalacat, San Fernando, Tarlac City, Olongapo City"
Region VI - Western Visayas,"11.0, 122.5",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348122105FlVd5XSY.jpg,,"Roxas, Iloilo, Passi, Bacolod, Bago, Cadiz, Escalante, Himamaylan, Kabankalan, La Carlota, Sagay, San Carlos, Silay, Sipalay, Talisay, Victorias"
Region VII - Central Visayas,"10.3, 123.9",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348194098MsiwiwyJ.jpg,,"Tagbilaran, Bogo, Carcar, Cebu, Danao, Lapu-Lapu, Mandaue, Naga, Talisay, Bais, Bayawan, Canlaon, Dumaguete, Guihulngan, Tanjay, Toledo"
NCR - National Capital Region,"14.6, 121.0",https://www.vigattintourism.com/assets/article_main_photos/optimize/13482865300D0UPluG.jpg,,"Caloocan, Malabon, Navotas, Valenzuela, Quezon City, Marikina, Pasig, Taguig, Makati, Manila, Mandaluyong, San Juan, Pasay, Parañaque, Las Piñas, Muntinlupa"
Region IV-A - CALABARZON,"14.1, 121.3",https://calabarzontourism.weebly.com/uploads/3/7/5/2/37526395/header_images/1412849167.jpg,,"Antipolo, Bacoor, Batangas City, Biñan, Cabuyao, Calamba, Cavite City, Calaca, Dasmariñas, General Trias, Imus, Lipa, Lucena, San Pablo, San Pedro, Santa Rosa, Santo Tomas, Tagaytay, Tanauan, Tayabas, Trece Martires"
